time,x,y,z
6410,0.004904151,-0.0048399493,0.050505638
6430,0.004886627,-0.009705752,0.06486988
6448,0.004922867,0.00215438,0.04691124
6468,-0.0010663271,-0.0040379018,0.052895546
6487,0.0062022805,0.0020078123,0.075634
6505,0.002372086,0.009241179,0.057692528
6524,-0.0013157725,0.011672974,0.045719147
6544,0.0061082244,-0.004042536,0.06247139
6563,0.00500679,-4.941076E-4,0.066057205
6582,-8.122325E-4,-0.011215977,0.044501305
6601,0.0074834824,-0.004126571,0.052884102
6620,0.0027403235,-0.0018178299,0.057667732
6638,-0.0032986999,0.011324003,0.061263084
6658,-9.6070766E-4,0.006707534,0.07443428
6677,3.3646822E-4,-5.20736E-4,0.06006527
6696,0.007432461,-0.0064745396,0.03971958
6715,0.005017638,-0.010017522,0.04570675
6734,0.005039811,-0.005313635,0.04570484
6754,2.3078918E-4,-0.0078409165,0.06725216
6772,-0.0033698082,0.001810126,0.074435234
6791,-9.4014406E-4,0.009037003,0.052886963
6811,-9.1069937E-4,0.005507238,0.054080963
6830,0.009813964,-0.0065358803,0.060070038
6848,0.014596701,-0.007620901,0.048101425
6868,0.008564234,0.0029859915,0.057679176
6887,0.008634508,0.007654503,0.070840836
6906,0.0073937774,5.50963E-4,0.049297333
6925,-0.00350672,-5.643219E-4,0.052897453
6945,-0.0057976246,0.0077486634,0.07683182
6964,-0.0071777105,-0.005330555,0.0457201
6982,0.008445561,-0.01144135,0.024168968
7001,0.006131232,-0.00783065,0.08281803
7020,0.012006879,0.0030210763,0.06726265
7039,0.007392943,0.005388245,0.032539368
7058,0.012011945,0.002980508,0.06367111
7078,-3.5643578E-5,0.002842307,0.069662094
7097,-0.0025038123,-0.0043719932,0.04692173
7115,-0.0023479462,-0.010358676,0.050502777
7135,0.0071308613,-0.01275114,0.06367779
7154,0.0035062432,-0.0020056888,0.048117638
7172,0.008250654,0.0062687024,0.06008911
7191,0.0071257353,0.007464543,0.060085297
7211,0.00952673,0.0026851147,0.052903175
7229,-0.0012649298,-0.004291117,0.057692528
7249,0.0012662411,-0.008924097,0.05529213
7268,-0.0046728253,0.0019243434,0.045713425
7287,0.0073108673,0.0018251762,0.051696777
7305,0.017956614,0.0020810813,0.06726456
7325,0.01782906,0.005700588,0.06248665
7344,0.009513795,0.0021481663,0.0481205
7363,-0.0059974194,-2.2903085E-4,0.05529976
7382,-0.012993574,-0.0048665926,0.06247139
7401,-0.014174402,-0.0010675564,0.040926933
7420,-0.001083374,-9.810925E-4,0.05050659
7439,0.010721922,0.0015742108,0.06607914
7458,0.02249372,-0.0030931234,0.052924156
7478,0.021215677,0.0029674992,0.054125786
7497,0.0069180727,-0.005611941,0.06250191
7515,-0.0050058365,-0.003181979,0.039754868
7534,-0.0038195848,-0.00571502,0.06489372
7554,-0.011048853,0.0013724715,0.063697815
7573,8.391738E-4,0.0049800873,0.044549942
7592,0.00450933,0.010847881,0.05172634
7611,0.016586006,0.0029034019,0.070874214
7629,0.011743844,-7.90745E-4,0.060106277
7649,0.005718291,0.0026918277,0.05172825
7668,-0.0050631166,0.0014568567,0.0565176
7687,0.00197649,-0.006940283,0.05173683
7706,0.0043358803,-0.008148298,0.052936554
7724,-0.009910464,0.006101586,0.055322647
7745,-0.0050172806,0.0024628341,0.056512833
7763,0.0056030154,-2.1837652E-5,0.04694462
7782,0.020005703,0.003969528,0.0708828
7802,0.021180928,0.0026097968,0.06370258
7820,0.008080423,-0.0033746958,0.039758682
7839,-0.00992769,-0.0022726282,0.052928925
7859,-0.012374997,-0.014130384,0.052933693
