time,x,y,z,absolute
1.838641958E0,-3.431852196E-1,-1.392954433E-2,-1.566644490E-2,3.438249041E-1
1.848597958E0,1.191113825E-1,1.547392989E-2,-5.682733476E-2,1.328770482E-1
1.858552958E0,-2.344378304E-2,6.580087618E-3,-4.230402052E-2,4.881125555E-2
1.868507958E0,1.699411460E-2,8.638598747E-3,-6.640215039E-2,6.908451994E-2
1.878463958E0,1.662087266E-2,4.060008478E-3,-7.328841627E-2,7.525907942E-2
1.888418958E0,1.556705137E-2,6.036009912E-3,-6.430709302E-2,6.643921069E-2
1.898373958E0,1.988058804E-2,-1.025736043E-2,-5.263078809E-2,5.718785779E-2
1.908329958E0,1.008875391E-2,-7.556235732E-4,-3.466755688E-2,3.611361824E-2
1.918284958E0,-3.004648865E-3,-3.951530065E-3,-3.541483104E-2,3.576105091E-2
1.928239958E0,3.420470408E-3,5.201992536E-3,-6.355689526E-2,6.386109362E-2
1.938194958E0,1.579824479E-2,2.789234928E-3,-6.161152661E-2,6.366588239E-2
1.948150958E0,1.644896680E-2,4.054630639E-3,-5.996612012E-2,6.231327388E-2
1.958105958E0,2.373197311E-2,3.778127002E-3,-3.227429152E-2,4.023817447E-2
1.968060958E0,1.731113190E-2,-3.475561001E-3,-5.547604322E-2,5.821809155E-2
1.978016958E0,1.423634614E-2,2.652525427E-3,-5.383005202E-2,5.574391395E-2
1.987971958E0,7.226441349E-3,5.648831731E-3,-5.338274002E-2,5.416500426E-2
1.997926958E0,7.043651906E-3,5.867870485E-3,-6.071982622E-2,6.140799812E-2
2.007882958E0,7.448564738E-3,-2.240583374E-3,-4.350737751E-2,4.419720837E-2
2.017837958E0,2.728993760E-3,1.973600878E-3,-4.829858601E-2,4.841586432E-2
2.027792958E0,1.257611148E-2,6.232081214E-6,-2.314854205E-2,2.634413820E-2
2.037748958E0,1.621075901E-2,-3.528988792E-4,-3.272511184E-2,3.652185907E-2
2.047703958E0,2.356819169E-2,-3.963564823E-3,-3.272160351E-2,4.052003013E-2
2.057658958E0,1.522522680E-2,-2.035458024E-3,-6.729735911E-2,6.902814762E-2
2.067613958E0,1.553986182E-2,4.518127546E-3,-8.211595774E-2,8.369546760E-2
2.077569958E0,1.199370596E-2,-4.573154185E-3,-5.547078073E-2,5.693654570E-2
