time,x,y,z,absolute
6.076859583E0,-2.848021600E-2,-7.547936797E-2,3.006053567E-2,8.609235447E-2
6.086816583E0,-1.543091174E-2,-1.064029527E-1,6.481287718E-2,1.255404732E-1
6.096774583E0,4.685099814E-2,-1.257232495E-1,9.249710441E-2,1.629633880E-1
6.106731583E0,3.838035610E-2,-1.110206451E-1,8.019865572E-2,1.422338207E-1
6.116689583E0,3.698389482E-2,-1.104783889E-1,3.665268660E-2,1.221339524E-1
6.126646583E0,2.075341288E-2,-1.049143977E-1,-1.755041778E-2,1.083778214E-1
6.136604583E0,2.726717457E-2,-6.646164581E-2,-3.404190481E-2,7.949528575E-2
6.146561583E0,-2.244563363E-3,-3.932040565E-2,-2.598970413E-2,4.718683170E-2
6.156519583E0,3.899515428E-2,-5.311442591E-2,-5.768395185E-2,8.757398357E-2
6.166476583E0,1.851268675E-1,-9.172958426E-2,-1.251093650E-1,2.415339043E-1
6.176434583E0,1.497246811E-1,-8.002740540E-2,-2.116879177E-1,2.713551920E-1
6.186391583E0,9.356202856E-2,-5.067153230E-2,-2.654747003E-1,2.860039753E-1
6.196349583E0,9.988674246E-2,-3.509652324E-2,-2.942564499E-1,3.127234970E-1
6.206306583E0,9.682367854E-2,-4.797508880E-2,-2.751033103E-1,2.955643166E-1
6.216264583E0,8.129869971E-2,-6.306550987E-2,-1.674320966E-1,1.965203401E-1
6.226221583E0,4.663348172E-2,-5.830397598E-2,-5.785585999E-2,9.445282298E-2
6.236179583E0,8.005898036E-3,-2.222512051E-2,3.850040674E-2,4.517003104E-2
6.246136583E0,-1.254333738E-2,-5.333201542E-2,1.610007441E-1,1.700672772E-1
6.256093583E0,9.992891550E-3,-9.334421977E-2,2.443206435E-1,2.617357028E-1
6.266051583E0,3.749000788E-2,-5.262654886E-2,2.338833636E-1,2.426447653E-1
6.276009583E0,1.866116948E-2,1.647445701E-2,2.190495622E-1,2.204594241E-1
6.285966583E0,-1.950338781E-3,6.109295167E-2,2.092297482E-1,2.179753200E-1
6.295923583E0,3.732851509E-2,4.746952392E-2,1.015807539E-1,1.181753921E-1
6.305881583E0,8.175061639E-2,-2.300769724E-2,-3.568380296E-2,9.211868001E-2
6.315838583E0,1.178330533E-1,-9.924230620E-2,-1.301660371E-1,2.016850540E-1
6.325796583E0,9.205615126E-2,-1.077875733E-1,-2.550228024E-1,2.917689594E-1
6.335753583E0,5.051563092E-2,-8.483125851E-2,-3.384923905E-1,3.525978869E-1
