"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.383268542E0,2.390283626E-4,2.152477391E-3,1.081004739E-3,2.420509187E-3
2.393225542E0,1.953837695E-3,2.967866894E-4,3.006470157E-3,3.597836416E-3
2.403182542E0,-8.379232604E-4,1.918425318E-3,1.210314222E-4,2.096931018E-3
2.413138542E0,-2.068037400E-3,-2.374036121E-4,-1.131985802E-3,2.369500162E-3
2.423095542E0,-5.067612510E-4,5.458740634E-4,-1.253088471E-3,1.457743521E-3
2.433051542E0,1.622702344E-3,2.740851603E-3,1.384239644E-3,3.472974201E-3
2.443008542E0,-8.082550485E-4,4.642447748E-4,3.737595398E-4,1.004238830E-3
2.452965542E0,3.478231374E-4,1.614197739E-3,-2.169297077E-4,1.665435011E-3
2.462921542E0,2.191961510E-3,-3.492629039E-4,3.398678033E-3,4.059272374E-3
2.472878542E0,-3.090130631E-4,-8.842920070E-4,6.455020048E-4,1.137600222E-3
2.482834542E0,-1.030601561E-4,-2.340191510E-3,-7.281992584E-4,2.453037272E-3
2.492791542E0,-1.881252974E-3,-1.888900297E-4,-1.241123769E-3,2.261676460E-3
2.502748542E0,7.322150050E-4,-1.165553113E-4,5.916659720E-4,9.485739700E-4
2.512704542E0,6.748992018E-5,-1.522704493E-3,-5.838531069E-4,1.632197388E-3
2.522661542E0,1.510486705E-3,1.723455032E-3,-6.379643455E-4,2.378837078E-3
2.532617542E0,-9.966036305E-5,1.391405240E-4,1.521592960E-3,1.531188234E-3
2.542574542E0,1.215487602E-3,1.034292625E-3,2.993780654E-4,1.623822211E-3
2.552531542E0,-1.978520304E-4,1.812201925E-3,-1.789256930E-4,1.831730233E-3
2.562487542E0,1.877801260E-3,9.864151943E-4,-6.259167567E-4,2.211543419E-3
2.572444542E0,2.739334013E-3,-2.191978274E-4,1.285167644E-3,3.033752527E-3
2.582400542E0,3.341151867E-3,4.723159946E-4,-4.339739680E-4,3.402162783E-3
2.592357542E0,6.391087081E-4,2.071011579E-3,1.436658204E-4,2.172139215E-3
2.602314542E0,1.697286381E-3,2.308137715E-3,1.076991204E-3,3.060750043E-3
2.612270542E0,2.472798806E-3,1.807996072E-3,2.172615612E-3,3.755508265E-3
2.622227542E0,1.659957925E-3,-5.090314080E-4,1.503525535E-3,2.296772152E-3
2.632184542E0,6.898562424E-5,-1.916245790E-3,8.451922331E-4,2.095496804E-3
2.642140542E0,3.744310699E-3,-1.380077447E-4,5.777326878E-4,3.791132260E-3
2.652097542E0,7.613039343E-4,2.111564390E-3,3.657450434E-4,2.274215753E-3
2.662053333E0,-3.279075027E-4,-1.867293147E-3,-1.411560923E-3,2.363643642E-3
